char,dialogue,episode
WOMAN CONTROLLER,"Stand by, ion control....Fire!",episode5
ANNOUNCER,The first transport is away.,episode5
DACK,"Feeling all right, sir?",episode5
LUKE,"Just like new, Dack. How about you?",episode5
DACK,Right now I feel I could take on the whole Empire myself.,episode5
LUKE,I know what you mean.,episode5
TRENCH OFFICER,Echo Station Three-T-Eight.,episode5
TRENCH OFFICER,We have spotted Imperial walkers!,episode5
CONTROLLER,Imperial walkers on the north ridge.,episode5
LUKE,Echo station Five-Seven. We're on our way.,episode5
LUKE,"All right, boys, keep tight now.",episode5
DACK,"Luke, I have no approach vector. I'm not set.",episode5
LUKE,"Steady, Dack. Attack pattern delta. Go now!",episode5
LUKE,"All right, I'm coming in.",episode5
LUKE,"Hobbie, you still with me?",episode5
LUKE,That armor's too strong for blasters.,episode5
LUKE,"Rouge Group, use your harpoons and tow cables. Go  for the legs. It might be our only chance of stopping them.  All right, stand by, Dack.",episode5
DACK,"Luke, we've got a malfunction in fire control. I'll have to cut  in the auxiliary.",episode5
LUKE,"Just hang on. Hang on, Dack. Get ready to fire that tow cable.",episode5
LUKE,Dack? Dack!,episode5
VEERS,"Yes, Lord Vader. I've reached the main power generator. The  shield will be down in moments. You may start your landing.",episode5
LUKE,Rouge Three.,episode5
WEDGE,"Copy, Rouge Leader",episode5
LUKE,"Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass.",episode5
WEDGE,"Coming around, Rouge Leader.",episode5
LUKE,"Steady, Rouge Two",episode5
WEDGE,Activate harpoon.,episode5
WEDGE,"Good shot, Janson.",episode5
WEDGE,One more pass.,episode5
JANSON,Coming around. Once more.,episode5
JANSON,One more.,episode5
JANSON,Cable out! Let her go!,episode5
WEDGE,Detach cable.,episode5
JANSON,Cable detached.,episode5
TRENCH OFFICER,Come on!,episode5
WEDGE,Whooha!! That got him!,episode5
LUKE,"I see it, Wedge. Good work.",episode5
RIEEKAN,I don't think we can protect two transports at a time.,episode5
LEIA,"It's risky, but we can't hold out much longer. We have no  choice.",episode5
RIEEKAN,Launch patrols.,episode5
LEIA,Evacuate remaining ground staff.,episode5
HAN,"No, no! No! This one goes there, that one goes there. right?",episode5
THREEPIO,"Artoo, you take good care of Master Luke now, understand?  And...do take care of yourself. Oh, dear, oh, dear.",episode5
VEERS,All troops will debark for ground assault. Prepare to target  the main generator.,episode5
LUKE,"Rouge Two, are you all right?",episode5
ZEV,"Yeah. I'm with you, Rouge Leader.",episode5
LUKE,We'll set harpoon. I'll cover for you.,episode5
ZEV,Coming around.,episode5
LUKE,"Watch that cross fire, boys.",episode5
ZEV,Set for position three.  Steady.,episode5
LUKE,Stay tight and low.,episode5
LUKE,"Hobbie, I've been hit!",episode5
HAN,You all right?,episode5
LEIA,Why are you still here?,episode5
HAN,I heard the command center had been hit.,episode5
LEIA,You got your clearance to leave.,episode5
HAN,Don't worry. I'll leave. First I'm going to get you to your ship.,episode5
THREEPIO,"Your Highness, we must take this last transport. It's our  only hope.",episode5
LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.,episode5
ANNOUNCER,Imperial troops have entered the base.,episode5
HAN,Come on...that's it.,episode5
LEIA,Give the evacuation code signal. And get to  your transports!,episode5
HEAD CONTROLLER,K-one-zero...all troops disengage.,episode5
THREEPIO,Oh! Wait for me!,episode5
OFFICER,Begin retreat!,episode5
SECOND OFFICER,Fall back!,episode5
VEERS,Distance to power generators?,episode5
PILOT,"One-seven, decimal two-eight.",episode5
VEERS,Target. Maximum fire power.,episode5
HAN,"Transport, this is Solo. Better take off -- I  can't get to you. I'll get the princess out on the Falcon.",episode5
THREEPIO,But...but...but...where are you going? Uh...come back!!,episode5
THREEPIO,Wait! Wait for me! Wait! Stop!,episode5
THREEPIO,How typical.,episode5
HAN,Come on.,episode5
HAN,"Hurry up, goldenrod, or you're going to be a permanent resident!",episode5
THREEPIO,Wait! Wait!,episode5
HAN,How's this?,episode5
LEIA,Would it helped if I got out and pushed?,episode5
HAN,It might.,episode5
THREEPIO,"Captain Solo, Captain Solo...sir, might I suggest that  you...",episode5
THREEPIO,It can wait.,episode5
LEIA,The bucket of bolts is never going to get us past that blockade.,episode5
HAN,"This baby's got a few surprises left in her, sweetheart.",episode5
HAN,Come on! Come on! Switch over. Let's hope we don't have a  burnout.,episode5
HAN,See?,episode5
LEIA,"Someday you're going to be wrong, and I hope I'm there to see it.",episode5
HAN,Punch it!,episode5
LUKE,Artoo! Get her ready for takeoff.,episode5
WEDGE,"Good luck, Luke. See you at the rendezvous.",episode5
LUKE,"Don't worry, Artoo. We're going, we're going.",episode5
LUKE,"There's nothing wrong, Artoo. I'm just setting a  new course.",episode5
LUKE,We're not going to regroup with the others.,episode5
LUKE,We're going to the Dagobah system.,episode5
LUKE,"Yes, Artoo?",episode5
LUKE,That's all right. I'd like to keep it  on manual control for a while.,episode5
HAN,I saw them! I saw them!,episode5
LEIA,Saw what?,episode5
HAN,"Star Destroyers, two of them, coming right at us.",episode5
THREEPIO,"Sir, sir! Might I suggest...",episode5
HAN,Shut him up or shut him down!  Check the  deflector shield!,episode5
HAN,"Oh, great. Well, we can still outmaneuver them.",episode5
IMPERIAL OFFICER,Take evasive action!,episode5
HAN,Prepare to make the jump to light-speed.,episode5
THREEPIO,"But, sir!",episode5
LEIA,They're getting closer!,episode5
HAN,Oh yeah? Watch this.,episode5
LEIA,Watch what?,episode5
HAN,I think we're in trouble.,episode5
THREEPIO,"If I may say so, sir, I noticed earlier the hyperdrive  motivator has been damaged. It's impossible to go to light-speed!",episode5
HAN,We're in trouble!,episode5
HAN,Horizontal boosters...!,episode5
HAN,Alluvial dampers...! Well that's not it.,episode5
HAN,Bring me the hydrospanners!,episode5
HAN,I don't know how we're going to get out of this one.,episode5
HAN,Oww! Chewie!,episode5
HAN,That was no laser blast! Something hit us.,episode5
LEIA,"Han, get up here!",episode5
HAN,"Come on, Chewie!",episode5
LEIA,Asteroids!,episode5
HAN,"Oh, no! Chewie, set two-seven-one.",episode5
LEIA,What are you doing? You're not actually going into an asteroid  field?,episode5
HAN,"They'd be crazy to follow us, wouldn't they?",episode5
LEIA,You don't have to do this to impress me.,episode5
THREEPIO,"Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one.",episode5
HAN,Never tell me the odds!,episode5
HAN,"You said you wanted to be around when I made a mistake; well,  this could be it, sweetheart.",episode5
LEIA,I take it back. We're going to get pulverized if we stay out  here much longer.,episode5
HAN,I'm not going to argue with that.,episode5
THREEPIO,Pulverized?,episode5
HAN,I'm going in closer to one of the big ones.,episode5
LEIA,Closer?,episode5
THREEPIO,Closer?!,episode5
THREEPIO,"Oh, this is suicide!",episode5
HAN,There. That looks pretty good.,episode5
LEIA,What looks pretty good?,episode5
HAN,Yeah. That'll do nicely.,episode5
THREEPIO,"Excuse me, ma'am, but where are we going?",episode5
LEIA,I hope you know what you're doing.,episode5
HAN,"Yeah, me too.",episode5
LUKE,"Yes, that's it. Dagobah.",episode5
LUKE,"No, I'm not going to change my mind about this.   I'm not picking up any cities or technology. Massive life-form readings, though. There's something alive down there...",episode5
LUKE,"Yes, I'm sure it's perfectly safe for droids.",episode5
LUKE,"I know, I know! All the scopes are dead. I can't  see a thing! Just hang on, I'm going to start the landing cycle...",episode5
LUKE,"No, Artoo, you stay put. I'll have a look around.",episode5
LUKE,Artoo?,episode5
LUKE,Artoo! Where are you?,episode5
LUKE,Artoo! You be more careful.,episode5
LUKE,Artoo -- that way!,episode5
LUKE,Artoo!,episode5
LUKE,"Oh, no! Are you all right? Come on. You're lucky you don't taste  very good. Anything broken?",episode5
LUKE,"If you're saying coming here was a bad idea, I'm beginning to  agree with you. Oh, Artoo, what are we doing here? It's like... something out of a dream, or, I don't know. Maybe I'm just going crazy.",episode5
VADER,"Yes, Admiral?",episode5
PIETT,"Our ships have sighted the Millennium Falcon, lord. But...it  has entered an asteroid field and we cannot risk...",episode5
VADER,"Asteroids do not concern me, Admiral. I want  that ship and not excuses.",episode5
PIETT,"Yes, lord.",episode5
HAN,I'm going to shut down everything but the emergency power  systems.,episode5
THREEPIO,"Sir, I'm almost afraid to ask, but...does that include  shutting me down, too?",episode5
HAN,"No, I need you to talk to the Falcon, find out what's wrong with  the hyperdrive.",episode5
THREEPIO,"Sir, it's quite possible this asteroid is not entirely  stable.",episode5
HAN,"Not entirely stable? I'm glad you're here to tell us these  things.  Chewie, take the professor in the back and plug him into the hyperdrive.",episode5
THREEPIO,"Oh! Sometimes I just don't understand human behavior. After  all, I'm only trying to do my job in the most...",episode5
LEIA,Let go.,episode5
HAN,Sshh!,episode5
LEIA,"Let go, please.",episode5
HAN,Don't get excited.,episode5
LEIA,"Captain, being held by you isn't quite enough to get me excited.",episode5
HAN,"Sorry, sweetheart. We haven't got time for anything else.",episode5
LUKE,Ready for some power? Okay. Let's see now. Put that in there.  There you go.,episode5
LUKE,Now all I have to do is find this Yoda...if he even  exists.,episode5
LUKE,Still...there's something familiar about this place. I feel  like...I don't know...,episode5
STRANGE VOICE,Feel like what?,episode5
LUKE,Like we're being watched!,episode5
CREATURE,Away with your weapon! I mean you no harm.,episode5
CREATURE,"I am wondering, why are you here?",episode5
LUKE,I'm looking for someone.,episode5
CREATURE,"Looking? Found someone, you have, I would say, hmmm?",episode5
LUKE,Right.,episode5
CREATURE,"Help you I can. Yes, mmmm.",episode5
LUKE,I don't think so. I'm looking for a great warrior.,episode5
CREATURE,Ahhh! A great warrior.  Wars not  make one great.,episode5
LUKE,Put that down. Hey! That's my dinner.,episode5
CREATURE,"How you get so big, eating food of this kind?",episode5
LUKE,"Listen, friend, we didn't mean to land in that puddle, and if we  could get our ship out, we would, but we can't, so why don't you just...",episode5
CREATURE,"Aww, cannot get your ship out?",episode5
LUKE,"Hey, you could have broken this. Don't do that. Ohhh...you're  making a mess. Hey, give me that!",episode5
CREATURE,Mine! Or I will help you not.,episode5
LUKE,I don't want your help. I want my lamp back. I'll need it to get  out of this slimy mudhole.,episode5
CREATURE,Mudhole? Slimy? My home this is.,episode5
CREATURE,"Ah, ah, ah!",episode5
LUKE,"Oh, Artoo, let him have it.",episode5
CREATURE,Mine! Mine!,episode5
LUKE,Artoo!,episode5
CREATURE,Mine!,episode5
CREATURE,Mine!,episode5
LUKE,"Now will you move along, little fella? We're got a lot  of work to do.",episode5
CREATURE,"No! No, no! Stay and help you, I will.  Find your  friend, hmm?",episode5
LUKE,"I'm not looking for a friend, I'm looking for a Jedi Master.",episode5
CREATURE,Oohhh. Jedi Master. Yoda. You seek Yoda.,episode5
LUKE,You know him?,episode5
CREATURE,"Mmm. Take you to him, I will.  Yes, yes. But now, we  must eat. Come. Good food. Come.",episode5
CREATURE,"Come, come.",episode5
LUKE,"Stay here and watch after the camp, Artoo.",episode5
THREEPIO,"Oh, where is Artoo when I need him?",episode5
THREEPIO,"Sir, I don't know where your ship learned to communicate,  but it has the most peculiar dialect. I believe, sir, it says that the power coupling on the negative axis has been polarized. I'm afraid you'll have to replace it.",episode5
HAN,"Well, of course I'll have to replace it.",episode5
HAN,Here! And Chewie...,episode5
HAN,...I think we'd better replace the negative power  coupling.,episode5
HAN,"Hey, Your Worship, I'm only trying to help.",episode5
LEIA,Would you please stop calling me that?,episode5
HAN,"Sure, Leia.",episode5
LEIA,"Oh, you make it so difficult sometimes.",episode5
HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right.",episode5
LEIA,Occasionally  maybe...when you aren't  acting like a scoundrel.,episode5
HAN,Scoundrel? Scoundrel? I like the sound of that.,episode5
LEIA,Stop that.,episode5
HAN,Stop what?,episode5
LEIA,Stop that! My hands are dirty.,episode5
HAN,"My hands are dirty, too. What are you afraid of?",episode5
LEIA,Afraid?,episode5
HAN,You're trembling.,episode5
LEIA,I'm not trembling.,episode5
HAN,You like me because I'm a scoundrel. There aren't enough  scoundrels in your life.,episode5
LEIA,I happen to like nice men.,episode5
HAN,I'm a nice man.,episode5
LEIA,"No, you're not. You're...",episode5
THREEPIO,"Sir, sir! I've isolated the reverse power flux coupling.",episode5
HAN,Thank you. Thank you very much.,episode5
THREEPIO,"Oh, you're perfectly welcome, sir.",episode5
NEEDA,"...and that, Lord Vader, was the last time they  appeared in any of our scopes. Considering the amount of damage we've sustained, they must have been destroyed.",episode5
VADER,"No, Captain, they're alive. I want every ship available to  sweep the asteroid field until they are found.",episode5
PIETT,Lord Vader.,episode5
VADER,"Yes, Admiral, what is it?",episode5
PIETT,The Emperor commands you make contact with him.,episode5
VADER,Move the ship out of the asteroid field so that we can send a  clear transmission.,episode5
PIETT,"Yes, my lord.",episode5
VADER,"What is thy bidding, my master?",episode5
EMPEROR,There is a great disturbance in the Force.,episode5
VADER,I have felt it.,episode5
EMPEROR,We have a new enemy -- Luke Skywalker.,episode5
VADER,"Yes, my master.",episode5
EMPEROR,He could destroy us.,episode5
VADER,He's just a boy. Obi-Wan can no longer help him.,episode5
EMPEROR,The Force is strong with him. The son of Skywalker must not  become a Jedi.,episode5
VADER,"If he could be turned, he would become a powerful ally.",episode5
EMPEROR,Yes. Yes. He would be a great asset. Can it be done?,episode5
VADER,"He will join us or die, my master.",episode5
LUKE,"Look, I'm sure it's delicious. I just don't understand why we  can't see Yoda now.",episode5
CREATURE,"Patience! For the Jedi it is time to eat as well. Eat, eat.  Hot. Good food, hm? Good, hmm?",episode5
LUKE,How far away is Yoda? Will it take us long to get there?,episode5
CREATURE,"Not far. Yoda not far. Patience. Soon you will be with him.   Rootleaf, I cook. Why wish you become Jedi? Hm?",episode5
LUKE,"Mostly because of my father, I guess.",episode5
CREATURE,"Ah, your father. Powerful Jedi was he, powerful Jedi, mmm.",episode5
LUKE,"Oh, come on. How could you know my father? You  don't even know who I am.  Oh, I don't even know what I'm doing here. We're wasting our time.",episode5
CREATURE,I cannot teach him. The boy has no patience.,episode5
BEN,He will learn patience.,episode5
YODA,"Hmmm. Much anger in him, like his father.",episode5
BEN,Was I any different when you taught me?,episode5
YODA,Hah. He is not ready.,episode5
LUKE,"Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready.",episode5
YODA,"Ready, are you? What know you of ready? For eight hundred years  have I trained Jedi. My own counsel will I keep on who is to be trained! A Jedi must have the deepest commitment, the most serious mind.  This one a long time have I watched. Never his mind on where he was. Hmm? What he was doing. Hmph. Adventure. Heh! Excitement. Heh! A Jedi craves not these things.  You are reckless!",episode5
BEN,"So was I, if you'll remember.",episode5
YODA,"He is too old. Yes, too old to begin the training.",episode5
LUKE,But I've learned so much.,episode5
YODA,Will he finished what he begins?,episode5
LUKE,I won't fail you -- I'm not afraid.,episode5
YODA,"Oh, you will be. You will be.",episode5
THREEPIO,"Sir, if I may venture an opinion...",episode5
HAN,"I'm not really interested in your opinion, Threepio.",episode5
LEIA,There's something out there.,episode5
HAN,Where?,episode5
LEIA,"Outside, in the cave.",episode5
THREEPIO,There it is. Listen! Listen!,episode5
HAN,I'm going out there.,episode5
LEIA,Are you crazy?!,episode5
HAN,I just got this bucket back together. I'm not going to let  something tear it apart.,episode5
LEIA,Then I'm going with you.,episode5
THREEPIO,"I think it might be better if I stay here and guard the  ship.  Oh, no.",episode5
LEIA,This ground sure feels strange. It doesn't feel like rock at  all.,episode5
HAN,There's an awful lot of moisture in here.,episode5
LEIA,I don't know. I have a bad feeling about this.,episode5
HAN,Yeah.,episode5
HAN,Watch out!,episode5
HAN,"Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables.",episode5
LEIA,Mynocks?,episode5
HAN,Go on inside. We'll clean them off if there are any more.,episode5
THREEPIO,Ohhh! Go away! Go away! Beastly thing. Shoo! Shoo!,episode5
HAN,Wait a minute...,episode5
HAN,"All right, Chewie, let's get out of here!",episode5
LEIA,The Empire is still out there. I don't think it's wise to...,episode5
HAN,No time to discuss this as a committee.,episode5
LEIA,I am not a committee!,episode5
LEIA,You can't make the jump to light-speed in this asteroid field...,episode5
HAN,"Sit down, sweetheart. We're taking off!",episode5
THREEPIO,Look!,episode5
HAN,"I see it, I see it.",episode5
THREEPIO,We're doomed!,episode5
LEIA,The cave is collapsing.,episode5
HAN,This is no cave.,episode5
LEIA,What?,episode5
YODA,"Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice.",episode5
LUKE,Vader. Is the dark side stronger?,episode5
YODA,"No...no...no. Quicker, easier, more seductive.",episode5
LUKE,But how am I to know the good side from the bad?,episode5
YODA,"You will know. When you are calm, at peace. Passive. A Jedi uses  the Force for knowledge and defense, never for attack.",episode5
LUKE,But tell me why I can't...,episode5
YODA,"No, no, there is no why. Nothing more will I  teach you today. Clear your mind of questions. Mmm. Mmmmmm.",episode5
LUKE,There's something not right here.,episode5
LUKE,"I feel cold, death.",episode5
YODA,That place...is strong with the dark side of the Force. A domain  of evil it is. In you must go.,episode5
LUKE,What's in there?,episode5
YODA,Only what you take with you.,episode5
YODA,Your weapons...you will not need them.,episode5
PIETT,Bounty hunters. We don't need that scum.,episode5
FIRST CONTROLLER,"Yes, sir.",episode5
PIETT,Those Rebels won't escape us.,episode5
SECOND CONTROLLER,"Sir, we have a priority signal from the Star  Destroyer Avenger.",episode5
PIETT,Right.,episode5
VADER,"...there will be a substantial reward for the one who finds  the Millennium Falcon. You are free to use any methods necessary, but I want them alive. No disintegrations.",episode5
BOBA FETT,As you wish.,episode5
PIETT,"Lord Vader! My lord, we have them.",episode5
THREEPIO,"Oh, thank goodness we're coming out of the asteroid field.",episode5
HAN,Let's get out of here. Ready for light-speed? One...two...three!,episode5
HAN,It's not fair!,episode5
HAN,The transfer circuits are working. It's not my fault!,episode5
LEIA,No light-speed?,episode5
HAN,It's not my fault.,episode5
THREEPIO,"Sir, we just lost the main rear deflector shield. One more  direct hit on the back quarter and we're done for.",episode5
HAN,Turn her around.,episode5
HAN,I said turn her around! I'm going to put all power in the front  shield.,episode5
LEIA,You're going to attack them?!,episode5
THREEPIO,"Sir, the odds of surviving a direct assault on an Imperial  Star Destroyer...",episode5
LEIA,Shut up!,episode5
NEEDA,They're moving to attack position. Shields up!,episode5
NEEDA,"Track them,. They may come around for another pass.",episode5
TRACKING OFFICER,"Captain Needa, the ship no longer appears on our  scopes.",episode5
NEEDA,They can't have disappeared. No ship that small has a cloaking  device.,episode5
TRACKING OFFICER,"Well, there's no trace of them, sir.",episode5
COMMUNICATIONS OFFICER,"Captain, Lord Vader demands an update on the  pursuit.",episode5
NEEDA,"Get a shuttle ready. I shall assume full  responsibility for losing them, and apologize to Lord Vader. Meanwhile, continue to scan the area.",episode5
COMMUNICATIONS OFFICER,"Yes, Captain Needa.",episode5
YODA,Use the Force. Yes...,episode5
YODA,Now...the stone. Feel it.,episode5
YODA,Concentrate!,episode5
LUKE,"Oh, no. We'll never get it out now.",episode5
YODA,So certain are you. Always with you it cannot be done. Hear you  nothing that I say?,episode5
LUKE,"Master, moving stones around is one thing. This is totally  different.",episode5
YODA,No! No different! Only different in your mind. You must unlearn  what you have learned.,episode5
LUKE,"All right, I'll give it a try.",episode5
YODA,No! Try not. Do. Or do not. There is no try.,episode5
LUKE,I can't. It's too big.,episode5
YODA,"Size matters not. Look at me. Judge me by my size, do you? Hm?  Mmmm.",episode5
YODA,"And well you should not. For my ally in the Force. And a  powerful ally it is. Life creates it, makes it grow. It's energy surrounds us and binds us. Luminous beings are we......not this crude matter.  You must feel the Force around you.  Here, between you...me...the tree...the rock...everywhere! Yes, even between this land and that ship!",episode5
LUKE,You want the impossible.,episode5
LUKE,I don't...I don't believe it.,episode5
YODA,That is why you fail.,episode5
VADER,"Apology accepted, Captain Needa.",episode5
PIETT,"Lord Vader, our ships have completed their scan of the area and  found nothing. If the Millennium Falcon went into light-speed, it'll be on the other side of the galaxy by now.",episode5
VADER,Alert all commands. Calculate every possible destination along  their last know trajectory.,episode5
PIETT,"Yes, my lord. We'll find them.",episode5
VADER,"Don't fail me again, Admiral.",episode5
PIETT,Alert all commands. Deploy the fleet.,episode5
THREEPIO,"Captain Solo, this time you have gone too far.  No, I will not be quiet, Chewbacca. Why doesn't anyone listen to me?",episode5
HAN,The fleet is beginning to break up. Go back and stand  by the manual release for the landing claw.,episode5
THREEPIO,I really don't see how thats going to help. Surrender is a  perfectly acceptable alternative in extreme circumstances. The Empire may be gracious enough...,episode5
HAN,Thank you.,episode5
LEIA,What did you have in mind for your next move?,episode5
HAN,"Well, if they follow standard Imperial procedure, they'll dump  their garbage before they go to light-speed, then we just float away.",episode5
LEIA,With the rest of the garbage. Then what?,episode5
HAN,Then we've got to find a safe port somewhere around here. Got any  ideas?,episode5
LEIA,No. Where are we?,episode5
HAN,The Anoat system.,episode5
LEIA,Anoat system. There's not much there.,episode5
HAN,"No. Well, wait. This is interesting. Lando.",episode5
LEIA,Lando system?,episode5
HAN,"Lando's not a system, he's a man. Lando Calrissian. He's a card  player, gambler, scoundrel. You'd like him.",episode5
LEIA,Thanks.,episode5
HAN,"Bespin. It's pretty far, but I think we can make it.",episode5
LEIA,A mining colony?,episode5
HAN,"Yeah, a Tibanna gas mine. Lando conned somebody out of it. We go  back a long way, Lando and me.",episode5
LEIA,Can you trust him?,episode5
HAN,"No. But he has no love for the Empire, I can tell you that.",episode5
HAN,"Here we go, Chewie. Stand by. Detach!",episode5
LEIA,"You do have your moments. Not many, but you have them.",episode5
YODA,"Concentrate...feel the Force flow. Yes. Good. Calm, yes. Through  the Force, things you will see. Other places. The future...the past. Old friends long gone.",episode5
LUKE,Han! Leia!,episode5
YODA,"Hmm. Control, control. You must learn control.",episode5
LUKE,I saw...I saw a city in the clouds.,episode5
YODA,Mmm. Friends you have there.,episode5
LUKE,They were in pain.,episode5
YODA,It is the future you see.,episode5
LUKE,Future? Will they die?,episode5
YODA,Difficult to see. Always in motion is the future.,episode5
LUKE,I've got to go to them.,episode5
YODA,"Decide you must how to serve them best. If you leave now, help  them you could. But you would destroy all for which they have fought and suffered.",episode5
HAN,"No, I don't have a landing permit. I'm trying  to reach Lando Calrissian.",episode5
HAN,Whoa! Wait a minute! Let me explain.,episode5
INTERCOM VOICE,You will not deviate from your present course.,episode5
THREEPIO,"Rather touchy, aren't they?",episode5
LEIA,I thought you knew this person.,episode5
HAN,"Well, that was a long time ago. I'm sure he's  forgotten about that.",episode5
INTERCOM VOICE,Permission granted to land on Platform  Three-two-seven.,episode5
HAN,Thank you.,episode5
HAN,"There's nothing to worry about. We go way back, Lando and me.",episode5
LEIA,Who's worried?,episode5
THREEPIO,Oh. No one to meet us.,episode5
LEIA,I don't like this.,episode5
HAN,"Well, what would you like?",episode5
THREEPIO,"Well, they did let us land.",episode5
HAN,"Look, don't worry. Everything's going to be fine. Trust me.",episode5
HAN,"See? My friend.  Keep your eyes open, okay?",episode5
LANDO,"Why, you slimy, double-crossing, no-good swindler! You've got a  lot of guts coming here, after what you pulled.",episode5
LANDO,"How you doing, you old pirate? So good to see you! I  never thought I'd catch up with you again. Where you been?",episode5
THREEPIO,"Well, he seems very friendly.",episode5
LEIA,Yes...very friendly.,episode5
LANDO,What are you doing here?,episode5
HAN,Ahh...repairs. I thought you could  help me out.,episode5
LANDO,What have you done to my ship?,episode5
HAN,"Your ship? Hey, remember, you lost her to me fair and square.",episode5
LANDO,Hello. What have we here? Welcome. I'm Lando Calrissian. I'm  the administrator of this facility. and who might you be?,episode5
LEIA,Leia.,episode5
LANDO,"Welcome, Leia.",episode5
HAN,"All right, all right, you old smoothie.",episode5
THREEPIO,"Hello, sir. I am See-Threepio, human-cyborg relations. My  facilities are at your...",episode5
THREEPIO,"Well, really!",episode5
LANDO,What's wrong with the Falcon?,episode5
HAN,Hyperdrive.,episode5
LANDO,I'll get my people to work on it.,episode5
HAN,Good.,episode5
LANDO,"You know, that ship saved my life quite a few times. She's the  fastest hunk of junk in the galaxy.",episode5
HAN,How's the gas mine? Is it paying off for you?,episode5
LANDO,"Oh, not as well as I'd like. We're a small outpost and not very  self-sufficient. And I've had supply problems of every kind. I've had labor difficulties... What's so funny?",episode5
HAN,"You. Listen to you -- you sound like a businessman, a responsible  leader. Who'd have thought that, huh?",episode5
LANDO,"You know, seeing you sure brings back a few things.",episode5
HAN,Yeah.,episode5
LANDO,"Yeah, I'm responsible these days. It's the  price you pay for being successful.",episode5
THREEPIO,Oh! Nice to see a familiar face.,episode5
SECOND THREEPIO,E chu ta!,episode5
THREEPIO,How rude!,episode5
THREEPIO,That sounds like an R2 unit in there. I wonder if...,episode5
THREEPIO,"Hello? How interesting. Oh, my.",episode5
MAN,Who are you?,episode5
THREEPIO,"Oh, I'm terribly sorry. I...I didn't mean to intrude. No,  no, please don't get up. No!",episode5
YODA,Luke! You must complete the training.,episode5
LUKE,I can't keep the vision out of my head. They're my friends. I've  got to help them.,episode5
YODA,You must not go!,episode5
LUKE,But Han and Leia will die if I don't.,episode5
BEN,You don't know that.,episode5
BEN,Even Yoda cannot see their fate.,episode5
LUKE,But I can help them! I feel the Force!,episode5
BEN,"But you cannot control it. This is a dangerous time for you, when  you will be tempted by the dark side of the Force.",episode5
YODA,"Yes, yes. To Obi-Wan you listen. The cave. Remember your failure  at the cave!",episode5
LUKE,"But I've learned so much since then. Master Yoda, I promise to  return and finish what I've begun. You have my word.",episode5
BEN,It is you and your abilities the Emperor wants. that is why your  friends are made to suffer.,episode5
LUKE,And that is why I have to go.,episode5
BEN,"Luke, I don't want to lose you to the Emperor the way I lost  Vader.",episode5
LUKE,You won't.,episode5
YODA,"Stopped they must be. On this depends. Only a fully trained Jedi  Knight with the Force as his ally will conquer Vader and his Emperor. If you end your training now, if you choose the quick and easy path, as Vader did, you will become an agent of evil.",episode5
BEN,Patience.,episode5
LUKE,And sacrifice Han and Leia?,episode5
YODA,If you honor what they fight for...yes!,episode5
BEN,"If you choose to face Vader, you will do it alone. I cannot  interfere.",episode5
LUKE,"I understand.  Artoo, fire up the  converters.",episode5
BEN,"Luke, don't give in to hate -- that leads to the dark side.",episode5
YODA,Strong is Vader. Mind what you have learned. Save you it can.,episode5
LUKE,I will. And I'll return. I promise.,episode5
YODA,"Told you, I did. Reckless is he. Now matters are worse.",episode5
BEN,That boy is our last hope.,episode5
YODA,No. There is another.,episode5
HAN,The ship is almost finished. Two or Three more things and we're  in great shape.,episode5
LEIA,The sooner the better. Something's wrong here. No one has seen  or knows anything about Threepio. He's been gone too long to have gotten lost.,episode5
HAN,Relax. I'll talk to Lando and see what I can find out.,episode5
LEIA,I don't trust Lando.,episode5
HAN,"Well, I don't trust him, either. But he is my friend. Besides,  we'll soon be gone.",episode5
LEIA,"And then you're as good as gone, aren't you?",episode5
LEIA,What happened?,episode5
HAN,Where? Found him in a junk pile?,episode5
LEIA,"Oh, what a mess. Chewie, do you think you can repair him?",episode5
HAN,Lando's got people who can fix him.,episode5
LEIA,"No, thanks.",episode5
LANDO,I'm sorry. Am I interrupting anything?,episode5
LEIA,Not really.,episode5
LANDO,You look absolutely beautiful. You truly belong here with us  among the clouds.,episode5
LEIA,Thank you.,episode5
LANDO,Will you join me for a little refreshment?,episode5
LANDO,"Everyone's invited, of course.",episode5
LANDO,Having trouble with you droid?,episode5
HAN,No. No problem. Why?,episode5
LANDO,"So you see, since we're a small operation, we don't fall into  the...uh...jurisdiction of the Empire.",episode5
LEIA,So you're part of the mining guild then?,episode5
LANDO,"No, not actually. Our operation is small enough not to be  noticed...which is advantageous for everybody since our customers are anxious to avoid attracting attention to themselves.",episode5
HAN,Aren't you afraid the Empire's going to find out about this  little operation and shut you down?,episode5
